,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Niko Mikkola,FLA,D,27,3,8,11,9,12,44,0,0,0,0,0,44,53
Sean Walker,PHI,D,27,3,8,11,8,14,54,0,0,1,2,1,32,42
Jack Drury,CAR,C,27,3,5,8,3,12,32,0,0,0,0,0,13,9
Jesse Ylonen,MON,LW,21,3,1,4,-3,6,21,0,0,0,0,0,9,17
Kailer Yamamoto,SEA,LW,29,3,3,6,-9,8,23,0,2,2,0,0,11,8
Morgan Frost,PHI,C,17,3,3,6,4,10,27,1,1,0,0,0,9,16
Gustav Lindstrom,MON,D,14,3,1,4,0,6,15,0,0,0,0,0,8,23
Adam Ruzicka,CGY,C,23,3,5,8,-5,4,25,1,0,3,0,0,2,8
Miro Heiskanen,DAL,D,27,3,16,19,-6,6,56,1,1,8,0,0,21,44
David Kampf,TOR,RW,25,3,3,6,-3,8,27,1,0,0,0,0,30,7
Gustav Forsling,FLA,D,27,3,6,9,17,16,55,0,1,0,0,0,24,37
Anthony Beauvillier,CHI,LW,27,3,6,9,7,4,46,0,1,1,0,0,15,20
Erik Gustafsson,NYR,D,26,3,12,15,3,17,37,0,0,6,0,0,17,26
Vladislav Gavrikov,LA,D,25,3,6,9,8,6,29,0,0,0,0,0,12,34
Derek Ryan,EDM,C,25,3,2,5,0,2,20,0,0,0,1,0,13,7
Adam Fox,NYR,D,16,3,14,17,-1,8,24,1,3,10,0,0,4,25
Dillon Dube,CGY,C,27,3,4,7,-7,8,26,0,1,0,0,0,15,17
Charlie McAvoy,BOS,D,21,3,14,17,-4,33,42,1,1,6,0,0,27,48
Max Jones,ANH,LW,23,3,4,7,-4,15,35,0,0,1,0,0,48,4
Marcus Foligno,MIN,LW,26,3,7,10,7,23,26,0,0,0,0,0,74,22
Gustav Nyquist,NSH,RW,28,3,15,18,-1,6,60,1,2,6,0,0,14,11
Joel Armia,MON,RW,12,3,0,3,3,2,22,1,0,0,1,0,6,3
Ryan Strome,ANH,C,26,3,14,17,-2,40,46,0,1,3,0,0,16,8
Alec Martinez,VGK,D,14,3,1,4,1,2,18,0,0,1,0,0,9,46
Mikael Granlund,SJ,C,21,3,15,18,0,6,43,1,0,4,0,1,23,15
Jordan Eberle,SEA,RW,26,3,11,14,-9,9,58,1,0,4,0,0,8,6
Jordan Staal,CAR,C,27,3,6,9,-10,18,46,0,0,1,0,1,34,12
Trevor Lewis,LA,C,25,3,3,6,4,4,43,0,0,1,0,0,15,13
Sam Gagner,EDM,C,13,3,2,5,0,2,29,0,0,1,0,0,8,7
Lars Eller,PIT,C,26,3,5,8,2,12,52,0,0,0,1,0,12,17
Andrew Cogliano,COL,LW,24,3,5,8,7,4,14,0,0,0,1,2,5,8
William Carrier,VGK,LW,26,3,2,5,3,12,44,0,0,0,0,0,50,8
Artturi Lehkonen,COL,LW,12,3,5,8,-3,2,34,0,1,3,0,0,13,4
Jaccob Slavin,CAR,D,27,3,14,17,10,2,62,0,0,0,2,1,14,38
Travis Sanheim,PHI,D,27,3,17,20,-8,20,53,2,0,4,0,1,21,50
Kasperi Kapanen,STL,RW,27,3,5,8,-1,4,37,1,0,0,1,1,15,9
Sam Bennett,FLA,LW,15,3,3,6,-2,31,30,1,1,2,0,0,23,4
Oskar Sundqvist,STL,C,27,3,9,12,1,6,30,0,0,0,1,2,28,23
Damon Severson,CLS,D,19,3,5,8,1,12,21,0,0,1,0,0,6,35
Jonathan Drouin,COL,C,26,3,5,8,-1,12,33,0,1,1,0,0,12,10
Alexander Wennberg,SEA,C,29,3,8,11,-1,10,43,0,1,0,1,0,13,25
Michael McCarron,NSH,C,18,3,2,5,1,17,17,0,0,0,0,0,25,12
Alex Killorn,ANH,C,17,3,5,8,-9,10,45,0,3,1,0,0,11,9
Patrick Maroon,MIN,LW,26,3,8,11,0,20,35,0,0,0,0,0,28,11
Phil Di Giuseppe,VAN,LW,26,3,5,8,6,15,35,0,0,0,0,0,38,15
Jacob Trouba,NYR,D,26,2,10,12,8,26,50,0,0,0,0,1,57,85
Zemgus Girgensons,BUF,C,20,2,0,2,-3,7,27,0,0,0,0,0,31,11
Scott Laughton,PHI,C,27,2,11,13,2,20,63,0,0,1,1,2,37,17
Craig Smith,DAL,RW,25,2,1,3,2,17,40,0,0,0,0,0,14,10
Nick Cousins,FLA,C,27,2,3,5,-5,14,42,1,0,0,0,0,32,9
Jean-Gabriel Pageau,NYI,C,27,2,8,10,-5,6,28,1,0,1,0,3,51,26
Matt Dumba,ARI,D,26,2,2,4,-5,26,32,0,0,0,0,0,42,35
Ryan Pulock,NYI,D,25,2,4,6,-6,8,34,1,1,0,0,0,37,66
Radek Faksa,DAL,C,23,2,2,4,-1,8,20,0,0,0,1,0,11,17
Teddy Blueger,VAN,C,14,2,2,4,-1,7,21,0,0,0,1,1,12,9
Jesper Fast,CAR,RW,27,2,4,6,-1,6,34,0,0,0,0,0,19,7
Louis Belpedio,PHI,D,12,2,2,4,6,0,12,1,0,0,0,0,14,18
Nicolas Aube-Kubel,WAS,C,13,2,4,6,4,15,15,0,0,0,0,0,29,8
Brendan Lemieux,CAR,LW,11,2,0,2,-1,33,8,1,0,0,0,0,12,0
Jakub Vrana,STL,RW,19,2,4,6,-5,8,41,0,0,0,0,0,6,3
Ben Chiarot,DET,D,27,2,7,9,9,20,38,0,0,0,0,0,43,57
Josh Manson,COL,D,25,2,5,7,1,32,37,0,0,0,0,1,46,37
Esa Lindell,DAL,D,27,2,8,10,5,8,38,0,0,0,0,1,21,52
Erik Johnson,BUF,D,28,2,0,2,2,2,26,1,0,0,0,0,32,39
Blake Wheeler,NYR,RW,26,2,4,6,-3,12,39,0,1,0,0,0,11,22
Kevin Shattenkirk,BOS,D,21,2,4,6,-1,4,36,0,1,1,0,0,12,28
Kris Letang,PIT,D,26,2,11,13,6,16,49,0,0,0,0,0,38,43
Justin Schultz,SEA,D,27,2,7,9,-9,14,40,0,0,3,0,0,3,27
Tyler Myers,VAN,D,28,2,11,13,11,24,27,0,0,0,1,0,39,49
Nick Leddy,STL,D,27,2,6,8,1,8,28,0,0,0,1,1,10,29
Cam Fowler,ANH,D,27,2,10,12,-14,4,36,0,0,7,0,0,14,44
Erik Gudbranson,CLS,D,27,2,8,10,-11,42,29,1,0,0,0,0,23,66
Taylor Hall,CHI,LW,10,2,2,4,-3,4,20,1,0,1,0,0,6,3
Brayden McNabb,VGK,D,29,2,9,11,13,10,31,0,0,0,0,1,36,92
Brian Dumoulin,SEA,D,28,2,3,5,-6,8,22,1,0,0,0,0,22,30
Jamie Oleksiak,SEA,D,29,2,6,8,0,17,35,0,0,0,0,0,33,71
Vladislav Namestnikov,WPG,C,23,2,10,12,11,4,33,0,0,0,1,0,13,14
Julien Gauthier,NYI,RW,10,2,3,5,0,0,14,1,0,0,0,0,24,6
Tyson Jost,BUF,C,24,2,2,4,-5,4,28,0,0,0,0,0,21,9
Mikhail Sergachev,TB,D,29,2,15,17,-14,16,47,0,0,7,0,0,23,60
Dante Fabbro,NSH,D,23,2,5,7,3,10,25,0,0,0,0,0,18,38
Boris Katchouk,CHI,LW,17,2,2,4,2,4,23,0,0,0,0,0,14,2
Sam Steel,DAL,C,22,2,5,7,2,10,28,0,0,0,1,0,7,6
Filip Hronek,VAN,D,28,2,24,26,16,16,57,0,2,6,0,0,22,30
Keegan Kolesar,VGK,RW,29,2,3,5,-1,29,25,1,0,0,0,1,86,17
Noel Acciari,PIT,C,22,2,1,3,4,4,25,0,0,0,0,0,44,28
Brandon Tanev,SEA,LW,13,2,0,2,-4,11,15,0,0,0,0,0,26,13
Conor Garland,VAN,RW,28,2,7,9,3,8,60,0,0,1,0,0,11,12
Christian Fischer,DET,RW,26,2,5,7,3,11,32,0,0,0,1,0,31,8
Jack Roslovic,CLS,RW,14,2,6,8,-6,6,29,1,0,2,0,0,5,12
Jordan Greenway,BUF,LW,21,2,5,7,-1,21,26,0,0,0,0,0,29,20
Ivan Provorov,CLS,D,30,2,13,15,-10,2,39,0,0,5,0,0,22,60
Kurtis MacDermid,COL,D,8,2,0,2,2,9,3,1,0,0,0,0,13,1
Garnet Hathaway,PHI,RW,27,2,1,3,-6,42,24,0,0,0,0,1,69,21
Liam O'Brien,ARI,C,27,2,4,6,3,66,21,0,0,0,0,0,59,8
Pierre-Edouard Bellemare,SEA,C,25,2,0,2,-2,4,19,0,0,0,1,0,10,15
Dakota Mermis,MIN,D,14,2,3,5,0,21,11,0,0,0,0,0,7,22
Klim Kostin,DET,RW,21,2,1,3,2,27,17,0,0,0,0,0,38,3
Travis Boyd,ARI,C,16,2,6,8,3,2,12,1,0,0,0,0,7,10
Beck Malenstyn,WAS,C,25,2,4,6,5,6,27,0,0,0,0,0,65,35
Ryan Lomberg,FLA,LW,27,2,0,2,4,14,25,0,0,0,0,0,44,9
Vinni Lettieri,MIN,C,13,2,1,3,-3,4,15,0,0,0,0,0,12,4
Henri Jokiharju,BUF,D,26,2,7,9,5,2,24,0,0,0,0,0,21,31
Ryan Poehling,PHI,C,22,2,4,6,-4,4,31,1,0,0,1,0,12,23
Morgan Geekie,BOS,C,20,2,5,7,2,6,29,0,0,0,0,0,16,13
Mackenzie Entwistle,CHI,RW,20,2,3,5,-5,10,25,1,0,0,0,0,33,10
Barrett Hayton,ARI,C,16,2,2,4,-2,18,34,0,1,0,0,0,2,10
Ryan McLeod,EDM,C,25,2,5,7,-2,4,35,0,0,1,0,1,18,6
Oliver Wahlstrom,NYI,RW,17,2,3,5,-5,4,23,0,1,1,0,0,15,13
Carson Soucy,VAN,D,13,2,3,5,6,2,12,0,1,1,0,0,16,26
David Gustafsson,WPG,C,21,2,1,3,-1,0,13,0,0,0,0,0,4,9
Alex Kerfoot,ARI,C,27,2,13,15,2,4,37,0,0,3,0,1,15,13
Jake Evans,MON,LW,28,2,7,9,6,6,23,0,0,0,0,0,25,24
Zach Whitecloud,VGK,D,15,2,3,5,-1,8,17,1,0,0,0,0,25,20
Eric Robinson,BUF,LW,10,2,2,4,2,15,16,1,0,0,0,0,21,5
Fredrik Olofsson,COL,C,26,2,3,5,-1,4,25,1,0,0,0,0,19,14
Zach Benson,BUF,LW,19,2,5,7,-2,12,25,0,0,0,0,0,7,6
Kevin Korchinski,CHI,D,25,2,5,7,-12,6,28,1,0,3,0,0,2,30
Juraj Slafkovsky,MON,LW,28,2,5,7,-7,21,39,0,1,0,0,0,42,23
Jalen Chatfield,CAR,D,22,2,5,7,-1,4,27,0,0,0,0,0,14,14
Nico Sturm,SJ,C,25,2,2,4,-11,10,29,0,0,0,0,0,13,21
Reese Johnson,CHI,RW,17,2,0,2,-5,9,22,0,0,0,0,0,33,12
Joel Kiviranta,COL,RW,14,2,3,5,1,4,16,0,0,0,0,0,21,12
Kaapo Kakko,NYR,RW,20,2,1,3,1,2,23,1,0,0,0,0,3,7
Pavel Dorofeyev,VGK,LW,13,2,4,6,3,2,24,0,0,0,0,0,3,6
Janis Moser,ARI,D,27,2,11,13,10,6,25,0,0,1,0,2,26,46
Alex Laferriere,LA,RW,24,2,2,4,0,11,46,0,0,0,0,0,19,10
Artem Zub,OTT,D,15,2,6,8,5,6,14,0,0,0,0,0,24,29
James Hamblin,EDM,C,15,2,1,3,2,0,8,0,0,0,0,0,4,11
Ridly Greig,OTT,C,12,2,5,7,8,8,21,0,1,0,0,0,18,5
Lukas Reichel,CHI,RW,26,2,4,6,-18,10,39,0,2,0,0,0,5,11
Kaiden Guhle,MON,D,24,2,6,8,0,22,36,1,0,0,0,0,33,71
Drew O'Connor,PIT,C,26,2,4,6,0,6,45,0,0,0,0,0,10,13
Brandon Biro,BUF,LW,5,2,0,2,0,0,2,0,0,0,0,0,0,2
Peyton Krebs,BUF,C,27,2,3,5,7,14,21,1,0,0,0,0,17,11
Anton Lundell,FLA,C,27,2,10,12,4,12,55,0,0,2,0,0,10,10
Dylan Holloway,EDM,C,14,1,0,1,-3,13,23,0,0,0,0,0,26,8
Thomas Bordeleau,SJ,LW,6,1,1,2,-5,4,7,0,0,1,0,0,3,5
Hendrix Lapierre,WAS,C,11,1,2,3,-2,0,9,1,0,0,0,0,2,5
Brock Faber,MIN,D,26,1,11,12,7,12,30,1,0,1,0,0,13,44
Alexander Barabanov,SJ,RW,10,1,3,4,-3,2,14,0,0,0,0,0,3,4
Braden Schneider,NYR,D,26,1,5,6,-2,4,31,0,0,0,0,0,29,42
Brayden Pachal,VGK,D,13,1,0,1,0,10,12,0,0,0,0,0,32,17
Mason Lohrei,BOS,D,12,1,3,4,-5,10,17,0,0,0,0,0,5,21
Michael Kesselring,ARI,D,11,1,5,6,2,6,10,0,0,0,0,0,11,10
Max Willman,NJ,LW,4,1,0,1,0,0,5,0,0,0,0,0,3,1
Walker Duehr,CGY,RW,15,1,3,4,1,2,9,0,0,0,0,0,21,2
Owen Power,BUF,D,29,1,11,12,-3,6,44,1,0,2,0,0,12,48
Matthew Coronato,CGY,LW,11,1,1,2,-9,4,24,0,1,0,0,0,1,0
Kent Johnson,CLS,C,14,1,5,6,-1,0,17,0,0,0,0,0,2,10
Cole Sillinger,CLS,C,25,1,8,9,-6,15,42,1,0,0,0,0,25,27
Samuel Fagemo,LA,LW,4,1,0,1,0,0,7,0,1,0,0,0,1,3
Mathieu Olivier,CLS,RW,17,1,4,5,0,15,17,0,0,0,0,0,42,10
Jayden Struble,MON,D,10,1,1,2,1,0,7,0,0,0,0,0,15,6
John Marino,NJ,D,26,1,11,12,0,10,19,0,0,0,0,0,14,34
Tyler Tucker,STL,D,11,1,1,2,2,10,7,0,0,0,0,0,17,11
Oskar Steen,BOS,C,13,1,0,1,1,2,12,0,0,0,0,0,21,10
Kaedan Korczak,VGK,D,15,1,6,7,7,4,16,0,0,1,0,0,22,22
Philip Tomasino,NSH,C,21,1,8,9,-6,6,30,0,0,3,0,0,5,8
Alex Vlasic,CHI,D,25,1,4,5,7,8,28,1,0,0,0,0,15,46
Trevor Zegras,ANH,C,12,1,1,2,-4,8,30,1,1,0,0,0,3,9
Cole Guttman,CHI,C,10,1,1,2,-4,0,16,0,0,0,0,0,2,6
Uvis Balinskis,FLA,D,16,1,1,2,1,6,16,0,0,0,0,0,20,13
Arber Xhekaj,MON,D,17,1,2,3,1,47,14,0,0,0,0,0,41,12
Vincent Desharnais,EDM,D,23,1,3,4,-2,25,11,0,0,0,0,0,30,32
Noah Cates,PHI,LW,21,1,3,4,-3,0,19,0,0,0,0,1,5,15
Ben Meyers,COL,LW,1,1,0,1,1,0,1,0,0,0,0,0,2,0
David Jiricek,CLS,D,25,1,4,5,0,16,19,1,0,0,0,0,10,28
Simon Nemec,NJ,D,5,1,2,3,-4,0,7,1,0,1,0,0,1,6
Pavel Mintyukov,ANH,D,27,1,12,13,-8,8,45,0,0,4,0,0,38,28
Tristan Luneau,ANH,D,7,1,2,3,1,4,11,0,0,0,0,0,5,4
Michael Pezzetta,MON,C,19,1,2,3,0,21,21,0,0,0,0,0,68,8
Parker Kelly,OTT,C,22,1,3,4,-1,4,14,0,0,0,1,0,31,14
Matthew Phillips,WAS,C,18,1,4,5,1,0,13,0,0,0,0,0,3,10
Andrei Svechnikov,CAR,RW,16,1,10,11,0,20,41,1,0,4,0,0,29,3
Jonatan Berggren,DET,RW,5,1,1,2,1,2,7,0,0,0,0,0,0,3
Calen Addison,SJ,D,28,1,10,11,-12,16,39,0,0,6,0,0,9,25
Spencer Stastney,NSH,D,9,1,0,1,6,4,5,1,0,0,0,0,1,16
Mattias Samuelsson,BUF,D,25,1,2,3,-2,16,25,1,0,0,0,0,56,52
Jacob Bernard-Docker,OTT,D,17,1,3,4,1,4,7,0,0,0,0,0,13,46
Alexander Alexeyev,WAS,D,10,1,0,1,-1,2,6,0,0,0,0,0,5,11
Egor Zamula,PHI,D,20,1,3,4,9,12,19,1,0,0,0,1,10,25
Alexander Romanov,NYI,D,27,1,4,5,5,10,50,0,0,0,0,0,34,61
Ty Emberson,SJ,D,16,1,3,4,-3,0,16,0,0,1,0,0,34,20
Mikey Anderson,LA,D,25,1,8,9,11,10,32,0,0,0,0,1,40,46
Jonas Rondbjerg,VGK,RW,6,1,2,3,3,0,9,0,0,0,0,0,0,0
Erik Brannstrom,OTT,D,17,1,2,3,3,16,23,0,0,0,0,0,5,23
Mario Ferraro,SJ,D,28,1,4,5,-16,16,49,0,0,0,0,0,29,80
Jack Studnicka,VAN,C,5,1,0,1,2,0,4,0,0,0,0,0,6,1
Jonny Brodzinski,NYR,RW,7,1,5,6,-2,2,12,0,1,0,0,0,1,5
Nicolas Hague,VGK,D,21,1,4,5,1,24,25,1,0,0,0,0,24,32
Gabriel Vilardi,WPG,C,8,1,2,3,0,2,18,1,0,1,0,0,3,4
Steven Lorentz,FLA,C,20,1,2,3,-3,4,12,1,0,0,0,0,16,8
Neal Pionk,WPG,D,26,1,8,9,6,16,46,0,0,1,0,0,54,30
Frederick Gaudreau,MIN,C,16,1,2,3,-4,2,29,1,0,1,0,0,4,6
Barclay Goodrow,NYR,LW,24,1,2,3,0,30,11,0,0,0,0,0,34,16
Sammy Blais,STL,LW,24,1,5,6,-5,8,18,0,0,0,0,0,75,6
Rourke Chartier,OTT,C,22,1,1,2,0,14,21,0,0,0,0,0,16,8
Ryan Graves,PIT,D,26,1,4,5,8,14,33,1,0,0,0,0,19,50
Dylan DeMelo,WPG,D,26,1,9,10,13,12,23,0,0,1,0,0,46,41
Kevin Labanc,SJ,RW,20,1,4,5,-11,6,29,0,0,2,0,0,18,7
Christian Dvorak,MON,LW,18,1,4,5,-3,4,24,0,0,0,0,0,7,13
Ben Hutton,VGK,D,23,1,4,5,6,13,41,0,0,0,0,0,7,31
Josh Brown,ARI,D,20,1,2,3,-4,34,18,1,0,0,0,0,31,40
Zach Werenski,CLS,D,28,1,20,21,0,6,70,0,0,3,0,0,5,44
Brandon Carlo,BOS,D,26,1,5,6,12,14,33,1,0,0,0,0,29,47
Alexandre Carrier,NSH,D,24,1,7,8,3,16,18,1,0,1,0,0,22,56
Troy Stecher,ARI,D,25,1,2,3,-1,12,24,0,0,0,0,0,24,34
Nikita Zaitsev,CHI,D,11,1,2,3,3,4,4,0,0,0,0,0,19,16
Jeremy Lauzon,NSH,D,28,1,2,3,-3,36,32,0,0,0,0,0,89,38
Conor Sheary,TB,LW,13,1,2,3,-3,4,14,0,0,0,0,0,2,8
Givani Smith,SJ,LW,24,1,2,3,-4,29,25,0,0,0,0,0,39,8
Samuel Girard,COL,D,15,1,3,4,-7,0,18,0,0,0,0,0,15,25
Ryan Lindgren,NYR,D,25,1,1,2,0,14,25,1,0,0,0,0,32,32
Nathan Bastian,NJ,RW,24,1,2,3,-10,4,26,0,0,0,0,0,43,11
Riley Tufte,COL,LW,5,1,1,2,-2,2,7,1,0,0,0,0,7,2
Jake Bean,CLS,D,29,1,2,3,-8,12,36,0,0,0,0,0,12,41
Connor Murphy,CHI,D,27,1,3,4,-15,28,28,0,0,0,0,0,55,69
Matt Nieto,PIT,LW,22,1,3,4,5,4,13,0,0,0,0,0,12,9
Jonas Brodin,MIN,D,25,1,8,9,7,2,48,0,0,0,0,0,5,62
Adam Larsson,SEA,D,29,1,6,7,-10,16,56,0,0,0,0,1,52,57
Ryan Reaves,TOR,RW,20,1,0,1,-11,16,10,0,0,0,0,0,43,2
Dmitry Orlov,CAR,D,27,1,10,11,-8,20,42,0,0,3,0,0,35,23
Matt Martin,NYI,LW,14,1,1,2,3,7,11,0,0,0,0,0,31,5
Jakob Silfverberg,ANH,RW,26,1,6,7,-1,4,37,0,0,2,0,0,6,11
Nick Bonino,NYR,C,26,1,3,4,-3,4,17,0,0,0,0,0,4,53
Chris Tanev,CGY,D,28,1,6,7,1,4,26,0,0,0,0,0,11,65
Tyler Pitlick,NYR,C,18,1,2,3,1,2,15,0,0,0,0,0,38,8
Austin Watson,TB,LW,15,1,0,1,-1,60,9,0,0,0,0,0,40,9
Jon Merrill,MIN,D,18,1,2,3,1,10,11,0,0,0,0,0,7,19
Tomas Tatar,COL,LW,26,1,8,9,-1,10,19,0,0,1,0,0,14,10
Marcus Johansson,MIN,LW,26,1,10,11,-1,8,39,0,0,1,0,0,16,10
Travis Hamonic,OTT,D,22,1,2,3,0,32,22,0,0,0,0,0,21,42
John Carlson,WAS,D,25,1,14,15,1,14,54,0,0,4,0,0,11,57
Alex Pietrangelo,VGK,D,24,1,12,13,5,2,56,1,0,5,0,1,12,66
Patrick Kane,DET,RW,3,1,0,1,-3,2,11,0,1,0,0,0,0,2
Ryan McDonagh,NSH,D,21,1,8,9,3,6,24,0,0,2,0,0,14,38
Jeff Carter,PIT,C,20,1,1,2,-1,6,20,1,0,0,0,0,16,8
Mark Giordano,TOR,D,20,1,4,5,-1,27,25,0,0,0,0,0,24,50
Jack Johnson,COL,D,28,1,3,4,3,14,35,0,0,0,0,0,18,25
T.J. Oshie,WAS,RW,19,1,1,2,-2,20,36,0,0,0,0,0,21,17
Ryan Carpenter,SJ,C,18,1,4,5,0,2,21,0,0,0,0,0,12,10
Brett Kulak,EDM,D,25,1,2,3,-6,8,29,0,0,0,0,0,18,26
Josh Anderson,MON,RW,28,1,4,5,-8,31,59,0,0,1,0,0,54,7
Vinnie Hinostroza,PIT,RW,10,1,2,3,-1,4,14,0,0,0,0,0,3,5
Matt Grzelcyk,BOS,D,16,1,0,1,-1,4,24,0,0,0,0,0,12,19
Brett Pesce,CAR,D,19,1,1,2,-3,6,30,0,0,0,0,0,8,38
Mattias Janmark,EDM,C,15,1,4,5,-2,4,19,0,0,0,0,0,15,8
Hudson Fasching,NYI,RW,17,1,3,4,-4,4,13,0,0,0,0,0,7,13
Andreas Englund,LA,D,25,1,6,7,7,39,10,0,0,0,0,0,57,27
Tony DeAngelo,CAR,D,16,1,6,7,-10,12,28,0,1,3,0,0,1,9
Devin Shore,SEA,C,12,1,1,2,-2,4,8,0,0,0,0,0,13,4
Mike Reilly,NYI,D,9,1,3,4,-2,6,25,0,0,1,1,0,11,9
Brock McGinn,ANH,LW,10,1,1,2,-2,4,10,0,0,0,0,0,10,7
Jordan Martinook,CAR,LW,27,1,6,7,-6,10,64,0,0,0,0,0,15,8
Nikita Zadorov,VAN,D,25,1,6,7,-3,28,32,0,0,0,0,0,50,28
Max Domi,TOR,C,25,1,12,13,1,46,35,0,0,1,0,0,17,4
Torey Krug,STL,D,27,1,11,12,-3,10,64,1,0,3,0,0,20,41
Mark Jankowski,NSH,C,2,1,0,1,1,0,5,0,0,0,0,0,1,1
Hampus Lindholm,BOS,D,26,1,6,7,7,34,42,0,1,1,0,0,8,29
Cody Ceci,EDM,D,25,0,6,6,6,6,29,0,0,0,0,1,16,32
Andreas Athanasiou,CHI,C,11,0,4,4,-5,0,20,0,0,1,0,0,3,3
Olli Maatta,DET,D,22,0,5,5,2,4,8,0,0,0,0,0,15,25
Jake McCabe,TOR,D,19,0,5,5,0,15,21,0,0,0,0,0,41,35
Adam Pelech,NYI,D,16,0,3,3,6,17,16,0,0,0,0,0,15,28
Robert Bortuzzo,NYI,D,6,0,0,0,1,9,1,0,0,0,0,0,7,4
Joel Edmundson,WAS,D,11,0,1,1,0,2,3,0,0,0,0,0,10,12
Andre Burakovsky,SEA,LW,7,0,3,3,-2,0,15,0,0,1,0,0,1,3
Rasmus Ristolainen,PHI,D,7,0,1,1,-2,4,10,0,0,0,0,0,14,10
Adam Erne,EDM,RW,12,0,1,1,2,9,8,0,0,0,0,0,29,3
Chris Tierney,NJ,C,13,0,0,0,-4,2,1,0,0,0,0,0,5,1
Seth Jones,CHI,D,27,0,11,11,-5,14,60,0,0,1,0,0,25,64
Chad Ruhwedel,PIT,D,15,0,1,1,-3,2,9,0,0,0,0,0,18,14
John Klingberg,TOR,D,14,0,5,5,-7,8,14,0,0,2,0,0,11,14
Jani Hakanpaa,DAL,D,27,0,5,5,7,27,15,0,0,0,0,0,52,47
Marcus Pettersson,PIT,D,26,0,5,5,13,18,28,0,0,0,0,0,26,38
Mark Friedman,VAN,D,18,0,1,1,4,19,14,0,0,0,0,0,21,29
Max McCormick,SEA,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomas Nosek,NJ,LW,6,0,0,0,-2,0,4,0,0,0,0,0,4,3
Brandon Montour,FLA,D,11,0,2,2,3,4,26,0,0,1,0,0,9,9
Haydn Fleury,TB,D,4,0,1,1,0,0,1,0,0,0,0,0,3,5
Colin Miller,NJ,D,12,0,1,1,3,2,19,0,0,0,0,0,15,8
Justin Bailey,SJ,RW,7,0,4,4,3,2,8,0,0,1,0,0,5,3
Zach Sanford,ARI,LW,1,0,1,1,0,2,0,0,0,0,0,0,1,0
Nicolas Petan,MIN,C,1,0,0,0,0,0,2,0,0,0,0,0,2,0
Jujhar Khaira,MIN,C,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Nate Schmidt,WPG,D,20,0,1,1,-4,2,16,0,0,0,0,0,9,23
Connor Brown,EDM,RW,19,0,1,1,-8,4,26,0,0,0,0,0,11,4
Jordan Oesterle,CGY,D,7,0,0,0,-3,0,6,0,0,0,0,0,5,8
Aaron Ekblad,FLA,D,11,0,4,4,7,8,26,0,0,1,0,0,9,21
Patrick Brown,BOS,C,8,0,1,1,0,2,5,0,0,0,0,0,14,3
Marc-Edouard Vlasic,SJ,D,16,0,1,1,-10,6,12,0,0,0,0,0,6,23
Marc Staal,PHI,D,11,0,0,0,-1,6,3,0,0,0,0,0,9,13
Ryan Suter,DAL,D,27,0,6,6,-3,10,37,0,0,0,0,0,17,31
Alex Goligoski,MIN,D,9,0,2,2,-3,10,4,0,0,0,0,0,5,13
Nicklas Backstrom,WAS,C,8,0,1,1,-3,2,12,0,0,0,0,0,2,5
Jeff Petry,DET,D,20,0,7,7,3,10,24,0,0,0,0,0,29,44
Milan Lucic,BOS,LW,4,0,2,2,-1,2,1,0,0,0,0,0,8,2
Luke Schenn,NSH,D,9,0,0,0,-2,7,7,0,0,0,0,0,30,11
Marco Scandella,STL,D,25,0,2,2,4,4,13,0,0,0,0,0,27,25
T.J. Brodie,TOR,D,25,0,5,5,6,16,15,0,0,0,0,0,16,63
Zach Bogosian,MIN,D,14,0,1,1,5,2,18,0,0,0,0,0,20,16
Brendan Smith,NJ,D,22,0,2,2,-1,34,21,0,0,0,0,0,36,19
Ian Cole,VAN,D,28,0,4,4,4,32,20,0,0,0,0,0,25,55
Riley Nash,NYR,C,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Calvin de Haan,TB,D,25,0,2,2,-2,6,16,0,0,0,0,0,27,30
Dmitry Kulikov,FLA,D,25,0,8,8,3,24,24,0,0,0,0,1,36,33
Dylan McIlrath,WAS,D,1,0,0,0,0,5,1,0,0,0,0,0,1,0
Jarred Tinordi,CHI,D,12,0,1,1,-4,11,9,0,0,0,0,0,32,21
Derek Forbort,BOS,D,20,0,4,4,9,15,13,0,0,0,0,0,29,35
David Savard,MON,D,6,0,2,2,1,2,4,0,0,0,0,0,5,19
Nicolas Deslauriers,PHI,LW,27,0,3,3,-5,30,26,0,0,0,0,0,71,10
Tyson Barrie,NSH,D,25,0,10,10,-6,10,35,0,0,3,0,0,6,25
Jared Spurgeon,MIN,D,13,0,4,4,6,2,17,0,0,3,0,0,7,24
Justin Holl,DET,D,20,0,3,3,6,14,4,0,0,0,0,0,18,22
Justin Faulk,STL,D,27,0,12,12,2,8,59,0,0,0,0,1,35,58
Scott Mayfield,NYI,D,20,0,4,4,-1,17,19,0,0,0,0,0,24,58
Rickard Rakell,PIT,C,17,0,4,4,-2,2,44,0,0,1,0,0,22,10
Logan Stanley,WPG,D,6,0,0,0,1,4,5,0,0,0,0,0,6,8
